The, DET :q: 0.2016767582673498, s: 0, rhs: The
The, NOUN :q: 1.4046916701783958E-4, s: 0, rhs: The
_RARE_, QP+NUM :q: 0.5, s: 1, rhs: _RARE_
_RARE_, NP+DET :q: 0.00872093023255814, s: 1, rhs: _RARE_
_RARE_, NX+NOUN :q: 0.6, s: 1, rhs: _RARE_
_RARE_, PRT :q: 0.001834862385321101, s: 1, rhs: _RARE_
_RARE_, INTJ+ADV :q: 0.6666666666666666, s: 1, rhs: _RARE_
_RARE_, NP+X :q: 0.8461538461538461, s: 1, rhs: _RARE_
_RARE_, PRT+PRT :q: 0.0297029702970297, s: 1, rhs: _RARE_
_RARE_, ADVP+ADJ :q: 0.28, s: 1, rhs: _RARE_
_RARE_, NP+VERB :q: 0.47619047619047616, s: 1, rhs: _RARE_
_RARE_, VP+VERB :q: 0.592156862745098, s: 1, rhs: _RARE_
_RARE_, ADVP+ADP :q: 0.07142857142857142, s: 1, rhs: _RARE_
_RARE_, VP+NOUN :q: 0.8, s: 1, rhs: _RARE_
_RARE_, LST+X :q: 1.0, s: 1, rhs: _RARE_
_RARE_, X+X :q: 0.7777777777777778, s: 1, rhs: _RARE_
_RARE_, DET :q: 0.0034932463903120633, s: 1, rhs: _RARE_
_RARE_, NP+ADJ :q: 0.10526315789473684, s: 1, rhs: _RARE_
_RARE_, ADJP+NOUN :q: 1.0, s: 1, rhs: _RARE_
_RARE_, ADJP+VERB :q: 0.56, s: 1, rhs: _RARE_
_RARE_, NP+INTJ+X :q: 1.0, s: 1, rhs: _RARE_
_RARE_, PRON :q: 0.012594458438287154, s: 1, rhs: _RARE_
_RARE_, NUM :q: 0.36975782634376847, s: 1, rhs: _RARE_
_RARE_, X :q: 0.2676056338028169, s: 1, rhs: _RARE_
_RARE_, ADVP+NUM :q: 1.0, s: 1, rhs: _RARE_
_RARE_, NOUN :q: 0.42105632813597416, s: 1, rhs: _RARE_
_RARE_, NP+ADV :q: 0.047619047619047616, s: 1, rhs: _RARE_
_RARE_, ADVP+NOUN :q: 0.3333333333333333, s: 1, rhs: _RARE_
_RARE_, WHADVP+ADV :q: 1.0, s: 1, rhs: _RARE_
_RARE_, VERB :q: 0.2660438045642518, s: 1, rhs: _RARE_
_RARE_, ADJP+ADV :q: 0.21428571428571427, s: 1, rhs: _RARE_
_RARE_, . :q: 1.321353065539112E-4, s: 1, rhs: _RARE_
_RARE_, ADV :q: 0.12767644726407612, s: 1, rhs: _RARE_
_RARE_, INTJ+X :q: 0.6666666666666666, s: 1, rhs: _RARE_
